,label,tweets
136,1.0,"@stayfaboo it will be up soon, i promise :)"
137,1.0,Web Whatsapp volta a funcionar com iPhone jailbroken. :-)
138,1.0,@crustyolddeen (I plan on watching it later) at 34 mins Leia appears as a hologram from R2D2 w a message for Obi Wan as he sits w Luke :)
139,1.0,"@Mburu__ Inter 3 UCL, Arsenal... Small team, Right! :)"
140,1.0,"Just passing by :) 🚂 (@ Dewsbury Railway Station (DEW) - @nationalrailenq in Dewsbury, West Yorkshire) https://t.co/DvBssHbrfx"
141,1.0,@ClearlyArticle :) its 430 am smh
142,1.0,@uptommosass it's 9:25 am here :) I live in Scotland :) it's strange to imagine what?- Megan xx
143,1.0,"@bookmyshow 

 !
#MasaanToday
#MasaanToday

A4.... Shweta Tripathi  
 !
#MasaanToday
#MasaanToday

-.:-) .-..,"
144,1.0,@WforWoman 5. Over 20 W kurtas! And my Mom has about half the number I have :D #WSaleLove
145,1.0,Ah! Hello back Larry! @TransworldBooks :) https://t.co/8XhjJb4jtH
146,1.0,Anyway my Friday is looking kinda gooood :)
147,1.0,@jhun_hunyo  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :)
148,1.0,Lol. Well. That's life :) thank God it enn you  https://t.co/GLoCEIjGQQ
149,1.0,@OJBJ @holmesjsamuel surely this could be your warmup this morning ??? Coming on 15th to Bath :) xx
150,1.0,"Dum Dum Andar - Ram Sampath, Sona Mohapatra &amp; Samantha Edwards Mein Tulane to razi razi, Wah! That's Josh :) http://t.co/ul8MARDfhm"
151,1.0,@justinbieber :) always smile
152,1.0,@darlakim_ picture. :)
153,1.0,"@arsenalnewsasit Thanks again, your time 16.20 right? That's perfect timing for me here :)."
154,1.0,#FollowFriday @IzywayLesExpats @na4innov @InXpressCoAzur for being top engaged members in my community this week :)
155,1.0,@Juleeyaanaa i know :))
156,1.0,#GiveItUp We have already given up our gas subsidy long back when this initiative was proposed.. Feeling so delighted having done that!! :)
157,1.0,@dayloladay I missed this yesterday!! :-)
158,1.0,"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x42"
159,1.0,@jaimeemelanie_ lmaoo! The best songs ever &lt;3 We shall have our own little throwback this week (y) :p
160,1.0,"@Clazziebritchas then go to the outlying islands, such as Cheung Chau, Mui Wo....totally different :))"
161,1.0,#KFCkitchentours Kitchen is so clean. I'm totally amazed :) @KFC_India
162,1.0,@cybelxxx  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :)
163,1.0,"@Jana7380 on the cusp of testing the waters, hope yours is rewarding :)"
164,1.0,#FollowFriday @BroadcastBeat @InSunWeTrust @conseilsmkg for being top influencers in my community this week :)
165,1.0,"arummzz: Let's go... I'll drive for you :p

#traveling #traveler #yogyakarta #jeep #Indonesia #instamood… https://t.co/s7y4Ys5JeU"
166,1.0,Anyone wanna skype me? :D
167,1.0,"@agylyxa may i look so, bit i am a real nice friendly girl :-)"
168,1.0,Im not like them. But i can pretend~ :)
169,1.0,watching where we are concert film :)
170,1.0,"Congratulations @amisharanka95, you're the winner to our #CheesyDelights contest :)
Please DM us your address and contact number!"
171,1.0,:) Have a great weekend guys! https://t.co/DLDKLpeTAb
172,1.0,#FollowFriday @CLARAROJASG @BF_P2C @MyBusiness_Plan for being top new followers in my community this week :)
173,1.0,@PuaMagasiva it was cool seeing you film today! :)
174,1.0,Check out Email Marketing 24/7:  http://t.co/O5fjR7oEqk you won't regret if you buy it :)
175,1.0,"@vineshpomal LOL. Come join us ... See u in around 14 hours if u leave now, without delays. :)"
176,1.0,"Actually very easy doing like this, it must be a station I guess where the train 'wd take at least an hour for shifting its engine etc :-)"
177,1.0,sunburn is peeling :-)
178,1.0,@Sexdate_gratis Visit my blog http://t.co/UzOAqroWKx thanks :D
179,1.0,@TikoSD Hi! Would you like an @imPastel concert? Let me know your city and country and I'll start working on it! Thanks :)
180,1.0,@no1_razorstan then talk to me. I can help you :)
181,1.0,"""@CassTheTrainer: A Huge &amp; Warm Welcome to @VodkaBlond :-))""

☆ finally we complete the triangle ! ☆"
182,1.0,@LucienneDiver I live in Northern Ireland. :) what sights have you seen?
183,1.0,@Mecastor01Mica  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :)
184,1.0,#FollowFriday @Z_Intl_Agency @Tivipro @compexly for being top supports in my community this week :)
185,1.0,Stats for the day have arrived. 1 new follower and NO unfollowers :) via http://t.co/6prugvmOuC.
186,1.0,"@imraina feeling smthng smthng fr u...lol...wanna hug u....XOXO...love uu jaann take care :* :)) &lt;3 :"")"
187,1.0,thanks mom :)
188,1.0,Thanks #TopNewFollowers @BestOfFicPad @MrCFluegel @JeanMarcPN Happy to connect :)
189,1.0,"@MooseAllain @MeatBingo that is the just most wonderful thing, it's made me feel all fluffy inside. Great pirouette, Moose :D"
190,1.0,@KristophCajon I have a trip to philly in December so after that :) I'd love to come out there dude.
191,1.0,"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x41"
192,1.0,The question is flawed. Pain doesn't negate strength :)  https://t.co/77TbkS2Djw
193,1.0,@ReflectKnives You went solo because these moves weren't being made :D
194,1.0,hey my fav nirvana song is smells like teen spirit rip amy winehouse :-)))))
195,1.0,#FollowFriday @CCIdeLYON @CCI_95 @CPNERI_ESIGROUP for being top engaged members in my community this week :)
196,1.0,"Let's go... I'll drive for you :p

#traveling #traveler #yogyakarta #jeep #Indonesia #instamood… https://t.co/s7y4Ys5JeU"
197,1.0,did we name the couple yet?? #TomHiddleston #ElizabethOlsen ?? #yaytheylookgreat :))
198,1.0,I love you all goodnight. Vid going up when I wake up you all with love this one :)
199,1.0,This weekend I am gonna shoot the lovely @NarakuBrock again &lt;3! Here a picture I made of her last time :D http://t.co/s3e2dmpt24
200,1.0,anyway :-)
201,1.0,Itty Bitty Teenie Bikini  :) http://t.co/A2oxW0ZI3g http://t.co/jn7KSfHwRc
202,1.0,I just joined the #HushedPinWithSammy Event :D Might get to Text with @SammyWilk for a day! Luv U @HushedApp http://t.co/czdow1i44W
203,1.0,"Always so much fun when 4th hour gets together. :) 

Ending the night with ice cream and Xfiles. 

Content."
204,1.0,@aangelayap easy :D
205,1.0,"@NTtownend yes, be surprised if we don't see a bit of rain today... :)"
206,1.0,@ReyesFraulein  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :)
207,1.0,To all @fatpunkstudio have a fabulous Friday and keep up the fantastic work!! :))
208,1.0,@justinbieber can you please follow me @caitecat1209 ♡♡♡♡ please jb follow me I love you always and forever. I'm a belieber ♡♡♡♡ :) I love u
209,1.0,#FollowFriday @DiploMix @CCI_entreprises @CCI_92 for being top influencers in my community this week :)
210,1.0,Morning all! :)
211,1.0,@FranchiSeedsUK good to hear :)
212,1.0,@LusciousLyndee1 Nighty night! Don't let the bed bugs bite :D
213,1.0,@Bonsplansblog Very beautiful this bracelet! good idea :)
214,1.0,@guywilliamsguy waiting for you at the foundry. Where you at?? :)
215,1.0,@KalinWhite I like that game :)
216,1.0,@suzannepanter @kevinbacon @katosman Ah! Now it makes sense... Didn't see the pic on my effing phone last night. Woot :) x
217,1.0,"@Derek_GTA Hi Derek, you could try using ParkShare in Gloucestershire http://t.co/qIF9AyAlkc :)"
218,1.0,"Aaaahhh man, this track is a traffic stress reliever. :)"
219,1.0,#FollowFriday @elevents2 @JoussotFrench_J @NYIBF for being top new followers in my community this week :)
220,1.0,@El1neW How're you today my dear? :)
221,1.0,@Jesutomisin I hear you guys want Arbeloa. :D
222,1.0,@ShawnMendes turning 17 in 15 days...omg. at least we have only 3 years difference :)
223,1.0,"@matteomeacci Well, they say Europe is on the rise again, but I find that hard to believe :)"
224,1.0,@WforWoman #WSaleLove uncountable coz we love unlimited :)
225,1.0,"Yes, of course :) #TeamPositive https://t.co/SaIX1VpFJF"
226,1.0,yes i love :-) #AlDub
227,1.0,@coffeebreak22 @LauRenArren @drparkave @JWKanyuira1969 @dheracing @RhoaChri @BarbaraBathurst @1cryingeye @willisteam :) ☕☕☕ Thank you Rita!
228,1.0,"@mikerobb Hi there, could you please DM us further info and we'd be happy to help! :)"
229,1.0,@24gooch on way my boy! :)
230,1.0,@graphure I hope you will get a lot of nice gifts :D
231,1.0,"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x40"
232,1.0,#FollowFriday @ACBM_SECEM @DCarsonCPA_NYC @PromosalonsInfo for being top supports in my community this week :)
233,1.0,So True!!  :)  https://t.co/N2ORwrOwhD
234,1.0,I added a video to a @YouTube playlist http://t.co/09GuSuMrNb im back on twitch and today it going to be league :) - 1 / 3
235,1.0,@ZarlashtFaisal @Tabinda_Samar Sethi was HIGH ??? :)
236,1.0,@IAm_Lennox exe skeem saam :)
237,1.0,These are the people who make me smile. :) @_pumpchkin_ @aka_pump @LilfrenchMsp @_Lishielou908_ http://t.co/iDdtACkA4K
238,1.0,@CoSchedule Thanks for the invite. :)
239,1.0,"@SyedIHusain polite izzat :) 
wese does she trust him? khawateen k sath selfies say to mana kar deya :)"
240,1.0,Thank you @MovieTubePW that's my Friday evening sorted :-)
241,1.0,@nova_caneeee you smart :)))
242,1.0,@vaalthepal :-) nice hair tbh
243,1.0,5 years :) https://t.co/hJEhDmxuu9
244,1.0,jacob will there be a m&amp;g upgrade??:-)
245,1.0,@heydonworks Nice tee man :)
246,1.0,Happy family vacation .. :D [pic] — https://t.co/HL0Fw8msf1
247,1.0,some sleep would be nice :-)
248,1.0,"If you're reading this, you're beautiful. 
Like this if you just read this :)"
249,1.0,Talking to One person .... Having Two Conversations :))))))))
250,1.0,skype was fun :-)
251,1.0,@SoggyStones should be online :)
252,1.0,...because it's Friday :D (y) http://t.co/6rA4ZlpjO9
253,1.0,#FollowFriday @CCIFCcanada @AdamEvnmnt @boxcalf1 for being top engaged members in my community this week :)
254,1.0,Something to get your #Friday off to a great start :) Have a great day all! #Mclaren #FridayFeeling #TGIF http://t.co/LshgwcXsSv
255,1.0,@AvinPera  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :)
256,1.0,square enix bissmillah ya Allah :)
257,1.0,@SephtonMark we're training #SocEnt startups at @TobaccoDockLon this week w/ @HelpingB - we'd love to have you drop in if youre arnd town :)
258,1.0,@HGVWolfie Basically you piss in a cup and they test it :)))
259,1.0,@ellenRstewart where are you off to next? :)
260,1.0,"@IonSwitz @notch also, Twitter is terrible for complicated discussions :)"
261,1.0,Snapchat me : LynetteLowe #snapchat #kikmenow #snapme #hot #snapchat #amazon #kikmeguys :) http://t.co/kd54m2IAm6
262,1.0,I am not looking forward to a 12 hour shift today :))))))
263,1.0,@ely83_ely definately agree that it's a growing sport. Drop me an email with details and we can see what we can do :-)
264,1.0,My last rt is me :)
265,1.0,...and the Rakyat will keep visiting your blog and reading your writing :) https://t.co/IMRy2BXuzd
266,1.0,@ryan2390 ever since I mentioned fly fishing the other day I'm getting follows and promoted posts about it lol cyber stalked! :-)
267,1.0,@Gurmeetramrahim #OurDaughtersOurPride #mypapamypride Proud of You Papa Coach :)
268,1.0,@imarpita it was great talking to you :D
269,1.0,@awaismarwat2011 never see positive kha u could also mention atleast they are going :)
270,1.0,"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x39"
271,1.0,@_pigglywiggly @Omundson The mango lassi's from Monty's are marvellous :D. Though I suspect that's not what you meant....
272,1.0,#FollowFriday @StayfanChemin @CCI_75 @aandreup for being top influencers in my community this week :)
273,1.0,@Thakurain_ Haha. Yes. I have 24 hrs. The time has come to touch the Kepler 452b. Chalna hai ?? :D
274,1.0,@iyah_mohamad  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :)
275,1.0,@allygrrdo thankyou pretty! :)
276,1.0,"@PinkPeoniesBlog @helloprettysa definitely the Hazel Food Market in Brooklyn, Pta :) &gt;&gt; http://t.co/ySQkhNDo2B"
277,1.0,still awake :))))
278,1.0,@joiredve okayy :D
279,1.0,Awww thank you :)  https://t.co/9tSQv2DWVm
280,1.0,@AR1961 ha! That does not surprise me in the least! Okay but will see doc this afternoon. Yorkshire is splendid though! :) xx
281,1.0,@JRTurnerPhoto @davidqueenan @jameslturnbull spam folder: WOW! I have won a huge amount of $ I just need to travel to Nigeria to claim it :)
282,1.0,@PERKSOFNIALLJH RTed! Good Luck :)
283,1.0,My legs hurt so bad :))))))))))))))))))
284,1.0,@johnny_lopez96 I get mine Saturday :-))))
285,1.0,@imafaithreyes thaaanks! December puhon. :))
286,1.0,happinessss~!! :))  https://t.co/slOn63OUeS
287,1.0,@VaibhavVj78 @PayUmoney True that. Can you change TnC without prior notification? I could have used them last night. :-)
288,1.0,https://t.co/gYx34VfmkK and I  probably only find this funny at 2:22 am :-)
289,1.0,@aliyaskates @yoshihikomkm Fat cos he probably ate Yuna :D :D :D
290,1.0,@emmajaneparsons @CuriousMindsNW Have fun in Tameside :))
291,1.0,@hydrcted what :-) did :-) i :-) do :-?
292,1.0,@CharmingJedward you´re welcome!! :)
293,1.0,My Google+ account. :) http://t.co/R8jyDxlQyo
294,1.0,@2SHYMC and they call scousers for everything! Hope you and Zoe are well mate :)
295,1.0,@RachelEvans_28 RIGHT!!!!!! I literally was like maybe u should get people who actually know what they're doing :-) @StudentTrip
296,1.0,"|| Sameee~ 

Rest well :) https://t.co/T6ZCo4NxDG"
297,1.0,@EdgarsLame happy birthday Edgar! I hope you have a good one and keep updating your travel log :)
298,1.0,"Hello :D
@VikkFollows @Vikkstar123"
299,1.0,@MarreyJewAna bring Abes :)
300,1.0,Stats for the day have arrived. 2 new followers and NO unfollowers :) via http://t.co/xxlXs6xYwe.
301,1.0,someone talk to me :))
302,1.0,i will never be the same if we ever meet again :D
303,1.0,@BBCSport come on man :D :D
304,1.0,@prettyden15  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :)
305,1.0,"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x38"
306,1.0,@LivelyKaty *sighs dreamily at that pout and those 'come to bath' eyes!* :-) #quacketyquack
307,1.0,@_sunshinehoran_ happy birthday love :)
308,1.0,@Brianscrooks @burwellitltd @manfrotto_tweet Cheers :-)
309,1.0,Funny how that happened when Phil was here too : )
310,1.0,@WMFireDogs I'd call 'em Del &amp; Rodders :) What else!
311,1.0,"@ForkH Hi, may you like play my newest gamejam game, i would be very happy about it :) http://t.co/8J5voDDHcs"
312,1.0,This is great! Irish literature is really inaccessible to most of us without Irish :)
313,1.0,@BhaktisBanter @PallaviRuhail yeah! This is fun :) #FlipkartFashionFriday
314,1.0,Nice music :) Check it out! http://t.co/PEjHsORGrk
315,1.0,@_xRiya Strange Kareena's Fans Not Knowing Kareena's Fans :)
316,1.0,Hello :) Get Youth Job Opportunities follow &gt;&gt; @tolajobjobs @e1d4c8e25ec844c
317,1.0,better :)
318,1.0,@ArtForCause Cool. Will look for you there. :)
319,1.0,:)) beautiful http://t.co/F8V3McI39e
320,1.0,"I'm playing Brain Dots : ) #BrainDots
http://t.co/cHl12JvuxN http://t.co/GGgU9PYEjI"
321,1.0,@ScreamQueenLR That's fair enough :) I wouldn't rush back either.
322,1.0,Brandi 18 on my FB DROP A SELFIE :) was fun https://t.co/TRoroeS4FK
323,1.0,@kthrnbyln  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :)
324,1.0,During a carnival men put masks over their masks. Xavier Forneret :-)
325,1.0,"@jennnnifer29 Jennifer, Check my site if u wanna get FREE 50.000 8 Ball Pool Coins. Thank you :)"
326,1.0,"@trisha1234 Beautiful edit, Trish! :) Loved it! ♥"
